Market;Clase de coste;Período/Año;Brand family;Artículo;Production Center;Unidad Base UoM;Qty in Base UoM;GROSS SALES -TRADE;EXCISE TAXES;OTHER SVC;COS-PURC. CONS. AFF;COS - SVC CONV. COST;Moneda;Nº documento;EU AGRREMENT - SEIZED PROD COSTS (BELOW;Documento anulado;Posic.docum.anulada;Nº documento refer.;Fecha de factura;Clase de factura;Canal distribución;Cliente
CO04;;003.2026;TEREA;ME009102.00;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965339951;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;VEEV;MA002008.00;RD;TH;0,009;106,03;0,00;0,00;39,14;0,00;USD;965339952;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;VEEV;MA002010.00;RD;TH;0,004;47,12;0,00;0,00;17,40;0,00;USD;965339953;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;TEREA;ME008221.01;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965339954;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;ZYN;NP001340.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965339955;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;ZYN;NP001347.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965339956;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;ZYN;NP001339.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965339957;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;ZYN;NP001338.00;S5;CN;18;53,01;0,00;0,00;22,37;0,00;USD;965339958;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;VNU;MA001796.01;RD;TH;0,006;35,34;0,00;0,00;11,18;0,00;USD;965339959;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;TEREA;ME007515.03;5J;TH;1,800;249,92;67,27;0,00;39,51;0,00;USD;965339960;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;VEEV;MA001237.01;RD;TH;0,003;22,97;0,00;0,00;8,08;0,00;USD;965339961;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;TEREA;ME003389.05;5J;TH;2;256,17;73,07;0,00;43,91;0,00;USD;965339962;0,00;;;4062701699;2/3/26;ZF2;11;1133311
CO04;;003.2026;VEEV;MA002010.00;RD;TH;0,002;23,56;0,00;0,00;8,70;0,00;USD;965339971;0,00;;;4062701700;2/3/26;ZF2;11;1660203
CO04;;003.2026;VEEV;MA002009.00;RD;TH;0,009;106,03;0,00;0,00;39,14;0,00;USD;965339972;0,00;;;4062701700;2/3/26;ZF2;11;1660203
CO04;;003.2026;VNU;MA001796.01;RD;TH;0,009;53,01;0,00;0,00;16,78;0,00;USD;965339973;0,00;;;4062701700;2/3/26;ZF2;11;1660203
CO04;;003.2026;VNU;MA001794.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965339974;0,00;;;4062701700;2/3/26;ZF2;11;1660203
CO04;;003.2026;VNU;MA001799.01;RD;TH;0,016;94,25;0,00;0,00;29,82;0,00;USD;965339975;0,00;;;4062701700;2/3/26;ZF2;11;1660203
CO04;;003.2026;TEREA;ME003390.06;5J;TH;1;128,09;36,54;0,00;21,95;0,00;USD;965339990;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,800;102,47;29,23;0,00;17,56;0,00;USD;965339991;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,600;76,85;21,92;0,00;13,17;0,00;USD;965339992;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;VEEV;MA001233.02;RD;TH;0,002;15,31;0,00;0,00;5,38;0,00;USD;965339993;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;VEEV;MA001235.01;RD;TH;0,002;15,31;0,00;0,00;5,38;0,00;USD;965339994;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;VNU;MA001798.01;RD;TH;0,001;5,89;0,00;0,00;1,86;0,00;USD;965339995;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;VNU;MA001799.01;RD;TH;0,008;47,12;0,00;0,00;14,91;0,00;USD;965339996;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;VNU;MA001794.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965339997;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,800;111,08;29,90;0,00;17,56;0,00;USD;965339998;0,00;;;4062701701;2/3/26;ZF2;11;1127622
CO04;;003.2026;VEEV;MA001237.01;RD;TH;0,001;7,66;0,00;0,00;2,69;0,00;USD;965340003;0,00;;;4062701703;2/3/26;ZF2;11;1127626
CO04;;003.2026;TEREA;ME007515.03;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965340004;0,00;;;4062701703;2/3/26;ZF2;11;1127626
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965340012;0,00;;;4062701704;2/3/26;ZF2;11;1127627
CO04;;003.2026;TEREA;ME003387.06;5J;TH;0,400;51,23;14,61;0,00;8,78;0,00;USD;965340016;0,00;;;4062701705;2/3/26;ZF2;11;1127629
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965340127;0,00;;;4062701705;2/3/26;ZF2;11;1127629
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965340130;0,00;;;4062701706;2/3/26;ZF2;11;1127630
CO04;;003.2026;VEEV;MA001232.02;RD;TH;0,004;30,63;0,00;0,00;10,77;0,00;USD;965340131;0,00;;;4062701707;2/3/26;ZF2;11;1127632
CO04;;003.2026;VEEV;MA001237.01;RD;TH;0,002;15,31;0,00;0,00;5,38;0,00;USD;965340132;0,00;;;4062701707;2/3/26;ZF2;11;1127632
CO04;;003.2026;VEEV;MA001235.01;RD;TH;0,002;15,31;0,00;0,00;5,38;0,00;USD;965340133;0,00;;;4062701707;2/3/26;ZF2;11;1127632
CO04;;003.2026;VEEV;MA001233.02;RD;TH;0,005;38,29;0,00;0,00;13,46;0,00;USD;965340134;0,00;;;4062701707;2/3/26;ZF2;11;1127632
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965340153;0,00;;;4062701708;2/3/26;ZF2;11;1127633
CO04;;003.2026;TEREA;ME008221.01;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965340167;0,00;;;4062701711;2/3/26;ZF2;11;1127638
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965340172;0,00;;;4062701712;2/3/26;ZF2;11;1127661
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,800;102,47;29,23;0,00;17,56;0,00;USD;965340189;0,00;;;4062701714;2/3/26;ZF2;11;1489629
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965340190;0,00;;;4062701714;2/3/26;ZF2;11;1489629
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965340191;0,00;;;4062701714;2/3/26;ZF2;11;1489629
CO04;;003.2026;III;DK005010.00;RD;BOX;2;42,48;0,00;0,00;52,52;0,00;USD;965340198;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;VEEV;MA002008.00;RD;TH;0,005;58,90;0,00;0,00;21,75;0,00;USD;965340199;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;TEREA;ME008221.01;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965340200;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;ZYN;NP001343.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965340201;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;ZYN;NP001340.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965340202;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;ZYN;NP001347.00;S5;CN;5;14,73;0,00;0,00;6,21;0,00;USD;965340203;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;ZYN;NP001339.00;S5;CN;13;38,29;0,00;0,00;16,15;0,00;USD;965340204;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;VNU;MA001794.01;RD;TH;0,003;17,67;0,00;0,00;5,59;0,00;USD;965340205;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;VNU;MA001799.01;RD;TH;0,003;17,67;0,00;0,00;5,59;0,00;USD;965340206;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;VNU;MA001798.01;RD;TH;0,005;29,45;0,00;0,00;9,32;0,00;USD;965340207;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;TEREA;ME007515.03;5J;TH;1,800;249,92;67,27;0,00;39,51;0,00;USD;965340208;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;VEEV;MA001233.02;RD;TH;0,008;61,26;0,00;0,00;21,54;0,00;USD;965340209;0,00;;;4062703325;2/3/26;ZF2;11;1497124
CO04;;003.2026;TEREA;ME003387.06;5J;TH;0,400;51,23;14,61;0,00;8,78;0,00;USD;965340221;0,00;;;4062703326;2/3/26;ZF2;11;1660204
CO04;;003.2026;TEREA;ME007962.01;5J;TH;2;256,17;73,08;0,00;43,91;0,00;USD;965340230;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;TEREA;ME007515.03;5J;TH;1,800;249,92;67,27;0,00;39,51;0,00;USD;965340231;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;VNU;MA001799.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965340232;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;VNU;MA001794.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965340233;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;ZYN;NP001341.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965340234;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;ZYN;NP001342.00;S5;CN;31;91,30;0,00;0,00;38,52;0,00;USD;965340235;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;TEREA;ME008221.01;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965340236;0,00;;;4062703327;2/3/26;ZF2;11;1673189
CO04;;003.2026;ZYN;NP001338.00;S5;CN;-5;-13,94;0,00;0,00;-6,21;0,00;USD;965340775;0,00;;;4062701207;2/3/26;ZRE;11;423719
CO04;;003.2026;ZYN;NP001345.00;S5;CN;-15;-41,83;0,00;0,00;-18,64;0,00;USD;965340776;0,00;;;4062701207;2/3/26;ZRE;11;423719
CO04;;003.2026;ZYN;NP001347.00;S5;CN;-10;-27,89;0,00;0,00;-12,43;0,00;USD;965340777;0,00;;;4062701207;2/3/26;ZRE;11;423719
CO04;;003.2026;VNU;MA001798.01;RD;TH;-0,001;-5,89;0,00;0,00;-1,86;0,00;USD;965340780;0,00;;;4062701208;2/3/26;ZRE;11;1577437
CO04;;003.2026;TEREA;ME009102.00;5J;TH;-1,800;-249,93;-67,28;0,00;-39,51;0,00;USD;965340782;0,00;965339951;;4062701212;2/3/26;S1;11;1133311
CO04;;003.2026;VEEV;MA002008.00;RD;TH;-0,009;-106,03;0,00;0,00;-39,14;0,00;USD;965340783;0,00;965339952;;4062701212;2/3/26;S1;11;1133311
CO04;;003.2026;VEEV;MA002010.00;RD;TH;-0,004;-47,12;0,00;0,00;-17,40;0,00;USD;965340784;0,00;965339953;;4062701212;2/3/26;S1;11;1133311
CO04;;003.2026;TEREA;ME008221.01;5J;TH;-1,800;-249,93;-67,28;0,00;-39,51;0,00;USD;965340785;0,00;965339954;;4062701212;2/3/26;S1;11;1133311
CO04;;003.2026;ZYN;NP001340.00;S5;CN;-9;-26,51;0,00;0,00;-11,18;0,00;USD;965340786;0,00;965339955;;4062701212;2/3/26;S1;11;1133311
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965345088;0,00;;;4062702121;2/3/26;ZF2;11;1127015
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,800;102,47;29,23;0,00;17,56;0,00;USD;965345089;0,00;;;4062702121;2/3/26;ZF2;11;1127015
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965345090;0,00;;;4062702121;2/3/26;ZF2;11;1127015
CO04;;003.2026;TEREA;ME007515.03;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965345098;0,00;;;4062702122;2/3/26;ZF2;11;1127045
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965345099;0,00;;;4062702122;2/3/26;ZF2;11;1127045
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965345111;0,00;;;4062702123;2/3/26;ZF2;11;1127051
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965345112;0,00;;;4062702123;2/3/26;ZF2;11;1127051
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965345113;0,00;;;4062702123;2/3/26;ZF2;11;1127051
CO04;;003.2026;TEREA;ME008221.01;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965345114;0,00;;;4062702123;2/3/26;ZF2;11;1127051
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,400;51,23;14,61;0,00;8,78;0,00;USD;965345128;0,00;;;4062703525;2/3/26;ZF2;11;1126971
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965345129;0,00;;;4062703525;2/3/26;ZF2;11;1126971
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965345140;0,00;;;4062703527;2/3/26;ZF2;11;1126989
CO04;;003.2026;TEREA;ME008221.01;5J;TH;0,200;27,77;7,48;0,00;4,39;0,00;USD;965345141;0,00;;;4062703527;2/3/26;ZF2;11;1126989
CO04;;003.2026;TEREA;ME003390.06;5J;TH;20;2.561,71;730,80;0,00;446,47;0,00;USD;965345150;0,00;;;4062703528;2/3/26;ZF2;11;1473666
CO04;;003.2026;TEREA;ME007515.03;5J;TH;20;2.776,99;747,50;0,00;446,47;0,00;USD;965345153;0,00;;;4062703528;2/3/26;ZF2;11;1473666
CO04;;003.2026;TEREA;ME009102.00;5J;TH;10;1.388,50;373,80;0,00;223,24;0,00;USD;965345162;0,00;;;4062703528;2/3/26;ZF2;11;1473666
CO04;;003.2026;TEREA;ME003390.06;5J;TH;70;8.438,08;2.557,79;0,00;1.536,68;0,00;USD;965345163;0,00;;;4062703529;2/3/26;ZF2;11;1843664
CO04;;003.2026;TEREA;ME003387.06;5J;TH;80;9.643,26;2.921,59;0,00;1.756,21;0,00;USD;965345164;0,00;;;4062703529;2/3/26;ZF2;11;1843664
CO04;;003.2026;TEREA;ME007962.01;5J;TH;30;3.616,32;1.096,16;0,00;658,58;0,00;USD;965345165;0,00;;;4062703529;2/3/26;ZF2;11;1843664
CO04;;003.2026;TEREA;ME003390.06;5J;TH;10;1.205,44;365,40;0,00;219,53;0,00;USD;965345166;0,00;;;4062703529;2/3/26;ZF2;11;1843664
CO04;;003.2026;TEREA;ME003389.05;5J;TH;30;3.616,30;1.096,08;0,00;658,58;0,00;USD;965345167;0,00;;;4062703529;2/3/26;ZF2;11;1843664
CO04;;003.2026;TEREA;ME003387.06;5J;TH;0,200;25,61;7,30;0,00;4,39;0,00;USD;965345182;0,00;;;4062703531;2/3/26;ZF2;11;1568094
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965345411;0,00;;;4062703328;2/3/26;ZF2;11;1589009
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965345412;0,00;;;4062703338;2/3/26;ZF2;11;1127127
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965345413;0,00;;;4062703338;2/3/26;ZF2;11;1127127
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965345414;0,00;;;4062703338;2/3/26;ZF2;11;1127127
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965345423;0,00;;;4062703339;2/3/26;ZF2;11;1127058
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,400;55,54;14,95;0,00;8,78;0,00;USD;965345430;0,00;;;4062703340;2/3/26;ZF2;11;1127116
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965345432;0,00;;;4062703341;2/3/26;ZF2;11;1127070
CO04;;003.2026;TEREA;ME007933.02;5J;TH;0,600;83,30;22,42;0,00;13,17;0,00;USD;965345436;0,00;;;4062703343;2/3/26;ZF2;11;1127486
CO04;;003.2026;TEREA;ME007515.03;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965345437;0,00;;;4062703343;2/3/26;ZF2;11;1127486
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965345438;0,00;;;4062703343;2/3/26;ZF2;11;1127486
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,800;102,47;29,23;0,00;17,56;0,00;USD;965345439;0,00;;;4062703343;2/3/26;ZF2;11;1127486
CO04;;003.2026;TEREA;ME003387.06;5J;TH;0,800;102,47;29,22;0,00;17,56;0,00;USD;965345454;0,00;;;4062703344;2/3/26;ZF2;11;1127421
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965345455;0,00;;;4062703344;2/3/26;ZF2;11;1127421
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,600;76,85;21,92;0,00;13,17;0,00;USD;965345456;0,00;;;4062703344;2/3/26;ZF2;11;1127421
CO04;;003.2026;TEREA;ME003389.05;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965345457;0,00;;;4062703344;2/3/26;ZF2;11;1127421
CO04;;003.2026;VNU;MA001799.01;RD;TH;0,001;5,89;0,00;0,00;1,86;0,00;USD;965345458;0,00;;;4062703344;2/3/26;ZF2;11;1127421
CO04;;003.2026;ZYN;NP001338.00;S5;CN;240;730,21;0,00;0,00;298,22;0,00;USD;965345459;0,00;;;4062703345;2/3/26;ZF2;11;1473665
CO04;;003.2026;ZYN;NP001341.00;S5;CN;240;730,21;0,00;0,00;298,22;0,00;USD;965345460;0,00;;;4062703345;2/3/26;ZF2;11;1473665
CO04;;003.2026;ZYN;NP001339.00;S5;CN;240;730,21;0,00;0,00;298,22;0,00;USD;965345461;0,00;;;4062703346;2/3/26;ZF2;11;1803503
CO04;;003.2026;ZYN;NP001346.00;S5;CN;240;730,21;0,00;0,00;298,22;0,00;USD;965345462;0,00;;;4062703346;2/3/26;ZF2;11;1803503
CO04;;003.2026;VEEV;MA002009.00;RD;TH;0,004;47,12;0,00;0,00;17,40;0,00;USD;965345466;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;TEREA;ME008221.01;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965345467;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001343.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345468;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001340.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345469;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001344.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345470;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001346.00;S5;CN;10;29,45;0,00;0,00;12,43;0,00;USD;965345471;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001347.00;S5;CN;4;11,78;0,00;0,00;4,97;0,00;USD;965345472;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001342.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345473;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001339.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345474;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001341.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345475;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;ZYN;NP001338.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345476;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;TEREA;ME007933.02;5J;TH;1,800;249,92;67,27;0,00;39,51;0,00;USD;965345477;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;VEEV;MA001232.02;RD;TH;0,004;30,63;0,00;0,00;10,77;0,00;USD;965345478;0,00;;;4062703355;2/3/26;ZF2;11;1497153
CO04;;003.2026;TEREA;ME003387.06;5J;TH;1,800;230,55;65,74;0,00;39,51;0,00;USD;965345496;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;TEREA;ME007515.03;5J;TH;1,800;249,92;67,27;0,00;39,51;0,00;USD;965345497;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;VNU;MA001798.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965345498;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;VNU;MA001796.01;RD;TH;0,004;23,56;0,00;0,00;7,46;0,00;USD;965345499;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;ZYN;NP001346.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345500;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;ZYN;NP001344.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345501;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;ZYN;NP001345.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345502;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;TEREA;ME008221.01;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965345503;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;VEEV;MA002009.00;RD;TH;0,002;23,56;0,00;0,00;8,70;0,00;USD;965345504;0,00;;;4062703356;2/3/26;ZF2;11;1758669
CO04;;003.2026;TEREA;ME008221.01;5J;TH;1,800;249,93;67,28;0,00;39,51;0,00;USD;965345505;0,00;;;4062703357;2/3/26;ZF2;11;1497161
CO04;;003.2026;ZYN;NP001343.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345506;0,00;;;4062703357;2/3/26;ZF2;11;1497161
CO04;;003.2026;ZYN;NP001340.00;S5;CN;9;26,51;0,00;0,00;11,18;0,00;USD;965345507;0,00;;;4062703357;2/3/26;ZF2;11;1497161
CO04;;003.2026;VNU;MA001871.01;RD;TH;0,003;17,67;0,00;0,00;5,59;0,00;USD;965345508;0,00;;;4062703357;2/3/26;ZF2;11;1497161
CO04;;003.2026;ZYN;NP001345.00;S5;CN;3;8,84;0,00;0,00;3,73;0,00;USD;965345509;0,00;;;4062703357;2/3/26;ZF2;11;1497161
CO04;;003.2026;VNU;MA001795.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965345510;0,00;;;4062703357;2/3/26;ZF2;11;1497161
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,200;25,62;7,31;0,00;4,39;0,00;USD;965349391;0,00;;;4062702405;2/3/26;ZF2;11;1127004
CO04;;003.2026;TEREA;ME007962.01;5J;TH;0,400;51,24;14,62;0,00;8,78;0,00;USD;965349400;0,00;;;4062702407;2/3/26;ZF2;11;1127041
